Survey,Year,Quarter,AphiaID,Species,IndexArea,Sex,PlusGr,Age_0,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,DateofCalculation
NS-IBTS,2018,1,126436,Gadus morhua,NS_Cod,,6,0.000,0.787,5.237,1.314,1.076,0.585,0.714,,,,,,,,,,20191028
NS-IBTS,2018,1,126436,Gadus morhua,NS_CodCat,,6,0.000,2.993,7.596,0.810,0.846,0.379,0.625,,,,,,,,,,20191028
NS-IBTS,2018,1,126437,Melanogrammus aeglefinus,NS_Had,,6,0.000,47.048,155.733,54.928,67.800,1.016,1.383,,,,,,,,,,20191028
NS-IBTS,2018,1,126417,Clupea harengus,NS_Her,,5,0.000,777.945,165.428,14.987,41.408,26.465,,,,,,,,,,,20191028
NS-IBTS,2018,1,126417,Clupea harengus,NS_Her1to7,,5,0.000,424.404,0.000,0.000,0.000,0.000,,,,,,,,,,,20191028
NS-IBTS,2018,1,126417,Clupea harengus,NS_Her1to9,,5,0.000,406.281,0.000,0.000,0.000,0.000,,,,,,,,,,,20191028
NS-IBTS,2018,1,127023,Scomber scombrus,NS_Mack,,6,0.000,137.800,252.665,3.922,0.165,0.043,0.071,,,,,,,,,,20191028
NS-IBTS,2018,1,126444,Trisopterus esmarkii,NS_NorPout,,6,0.000,1157.950,913.650,69.019,3.358,0.469,0.000,,,,,,,,,,20191028
NS-IBTS,2018,1,127143,Pleuronectes platessa,NS_PlaiceIIIa,,10,0.000,10.380,51.901,33.904,10.723,9.779,3.838,2.355,2.367,1.477,3.698,,,,,,20191028
NS-IBTS,2018,1,126441,Pollachius virens,NS_Saithe,,10,0.000,0.037,0.059,1.550,10.223,7.635,1.910,0.233,0.355,0.151,0.182,,,,,,20191028
NS-IBTS,2018,1,126425,Sprattus sprattus,NS_SpratIIIa,,6,0.000,4856.030,820.232,278.183,277.334,72.460,43.107,,,,,,,,,,20191028
NS-IBTS,2018,1,126425,Sprattus sprattus,NS_SpratIV,,6,0.000,3185.243,810.536,72.277,8.509,1.486,2.899,,,,,,,,,,20191028
NS-IBTS,2018,1,126438,Merlangius merlangus,NS_Whit,,6,0.000,87.202,238.773,92.502,54.493,18.630,7.694,,,,,,,,,,20191028
NS-IBTS,2018,3,126436,Gadus morhua,NS_Cod,,6,0.834,2.258,4.776,0.574,0.398,0.269,0.234,,,,,,,,,,20190429
NS-IBTS,2018,3,126436,Gadus morhua,NS_CodCat,,6,2.175,1.326,0.555,0.099,0.051,0.009,0.009,,,,,,,,,,20190429
NS-IBTS,2018,3,126437,Melanogrammus aeglefinus,NS_Had,,6,123.141,74.110,94.752,22.692,32.776,0.724,0.636,,,,,,,,,,20190429
NS-IBTS,2018,3,126417,Clupea harengus,NS_Her,,5,2699.992,969.083,260.226,87.273,292.065,293.382,,,,,,,,,,,20190429
NS-IBTS,2018,3,127023,Scomber scombrus,NS_Mack,,6,2.392,38.825,60.993,15.247,17.717,10.129,48.786,,,,,,,,,,20190429
NS-IBTS,2018,3,126444,Trisopterus esmarkii,NS_NorPout,,6,6114.945,595.161,186.277,5.734,0.000,0.000,0.000,,,,,,,,,,20190429
NS-IBTS,2018,3,127143,Pleuronectes platessa,NS_PlaiceIIIa,,10,0.000,13.332,27.454,14.763,6.969,2.477,3.834,1.204,0.652,1.057,3.702,,,,,,20190429
NS-IBTS,2018,3,126441,Pollachius virens,NS_Saithe,,10,0.080,0.029,9.519,1.877,6.885,6.027,1.450,0.322,0.183,0.163,0.064,,,,,,20190429
