Survey,Year,Quarter,SpecCode,Genus,Family,IndexArea,Sex,PlusGr,Age_0,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Ship
NS-IBTS,2018,1,3938,NULL,NULL,NS_Whit,NULL,6,0,84.998,236.167,92.087,52.645,20.466,12.93,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TRI2
NS-IBTS,2018,1,3940,NULL,NULL,NS_Cod,NULL,6,0,0.919,5.005,1.348,1.11,0.565,0.766,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TRI2
NS-IBTS,2018,1,3940,NULL,NULL,NS_CodCat,NULL,6,0,3.12,7.138,1.113,0.824,0.45,0.604,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TRI2
NS-IBTS,2018,1,3941,NULL,NULL,NS_Had,NULL,6,0,45.808,156.225,52.382,69.785,1.471,2.238,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TRI2
NS-IBTS,2018,1,3956,NULL,NULL,NS_PlaiceIIIa,NULL,10,0,12.446,49.615,32.987,8.742,12.256,5.108,2.978,3.441,1.577,1.272,NULL,NULL,NULL,NULL,NULL,TRI2
NS-IBTS,2018,1,3978,,,NS_Her,NULL,5,0,782.62,161.924,16.284,36.772,32.556,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TRI2
NS-IBTS,2018,1,3978,,,NS_Her1to9,NULL,5,0,406.281,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TRI2
NS-IBTS,2018,1,3978,,,NS_Her1to7,NULL,5,0,424.404,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TRI2
NS-IBTS,2018,1,3992,NULL,NULL,NS_Mack,NULL,6,0,107.277,4.995,281.858,0,0.537,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TRI2
NS-IBTS,2018,1,4139,,,NS_Saithe,NULL,10,0,0.039,0.056,1.728,10.253,7.641,1.696,0.243,0.369,0.174,0.139,NULL,NULL,NULL,NULL,NULL,NULL
NS-IBTS,2018,3,3938,NULL,NULL,NS_Whit,NULL,6,204.112,147.061,258.238,97.385,39.992,27.824,23.332,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,DAN2
NS-IBTS,2018,3,3939,NULL,NULL,NS_NorPout,NULL,6,6114.945,578.337,201.354,7.481,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,DAN2
NS-IBTS,2018,3,3940,NULL,NULL,NS_Cod,NULL,6,0.834,2.199,4.684,0.736,0.382,0.26,0.247,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,DAN2
NS-IBTS,2018,3,3940,NULL,NULL,NS_CodCat,NULL,6,2.175,1.157,0.664,0.152,0.036,0.042,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,DAN2
NS-IBTS,2018,3,3941,NULL,NULL,NS_Had,NULL,6,123.138,69.66,97.648,21.282,34.272,1.44,1.391,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,DAN2
NS-IBTS,2018,3,3942,NULL,NULL,NS_Test,NULL,10,0,0,0.029,0.011,0.011,0.062,0.042,0.014,0.01,0.009,0,NULL,NULL,NULL,NULL,NULL,DAN2
NS-IBTS,2018,3,3949,,,NS_SpratIV,NULL,6,1829.506,6435.466,1770.828,205.301,3.798,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,DAN2
NS-IBTS,2018,3,3949,,,NS_SpratIIIa,NULL,6,70.096,21979.965,1698.785,2200.108,2235.415,431.746,155.189,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,DAN2
NS-IBTS,2018,3,3956,NULL,NULL,NS_PlaiceIIIa,NULL,10,0.695,12.11,22.088,7.934,5.782,8.872,6.603,2.295,4.885,2.051,2.128,NULL,NULL,NULL,NULL,NULL,DAN2
NS-IBTS,2018,3,3978,,,NS_Her,NULL,5,2700.339,968.705,236.811,117.857,220.487,357.545,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,DAN2
NS-IBTS,2018,3,3992,NULL,NULL,NS_Mack,NULL,6,3.529,42.886,51.791,16.168,19.804,11.19,48.723,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,DAN2
NS-IBTS,2018,3,4139,,,NS_Saithe,NULL,10,0.08,0.029,10.015,1.397,6.851,6.075,1.424,0.307,0.2,0.182,0.037,NULL,NULL,NULL,NULL,NULL,NULL
NS-IBTS,2019,1,3938,NULL,NULL,NS_Whit,NULL,6,0,268.933,201.402,156.042,63.584,19.824,14.448,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TRI2
NS-IBTS,2019,1,3939,NULL,NULL,NS_NorPout,NULL,6,0,3891.543,303.202,54.818,0.767,0.021,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TRI2
NS-IBTS,2019,1,3940,NULL,NULL,NS_Cod,NULL,6,0,2.144,1.482,2.034,0.274,0.195,0.22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TRI2
