stratum	lon	lat
red1	-7.441832	59.06667
red1	-7.435425	59.1
red1	-7.433333	59.10301
red1	-7.403013	59.13333
red1	-7.4	59.13516
red1	-7.366667	59.15022
red1	-7.350219	59.16667
red1	-7.333333	59.168
red1	-7.3	59.16847
red1	-7.266667	59.17396
red1	-7.240625	59.2
red1	-7.233333	59.20163
red1	-7.2	59.20511
red1	-7.17178	59.23333
red1	-7.166667	59.23423
red1	-7.133333	59.23465
red1	-7.1	59.23603
red1	-7.066667	59.24183
red1	-7.041832	59.26667
red1	-7.033333	59.26742
red1	-7	59.26749
red1	-6.966667	59.2677
red1	-6.933333	59.26817
red1	-6.9	59.26838
red1	-6.866667	59.26911
red1	-6.835773	59.3
red1	-6.833333	59.3008
red1	-6.8	59.30155
red1	-6.76822	59.33333
red1	-6.766667	59.33417
red1	-6.733333	59.33618
red1	-6.702846	59.36667
red1	-6.7	59.36905
red1	-6.66905	59.4
red1	-6.666667	59.40538
red1	-6.638714	59.43333
red1	-6.63596	59.46667
red1	-6.635305	59.5
red1	-6.634402	59.53333
red1	-6.634512	59.56667
red1	-6.634584	59.6
red1	-6.633333	59.60155
red1	-6.601554	59.63333
red1	-6.600708	59.66667
red1	-6.600892	59.7
red1	-6.601831	59.73333
red1	-6.6	59.73603
red1	-6.569363	59.76667
red1	-6.566667	59.76761
red1	-6.534275	59.8
red1	-6.533333	59.80061
red1	-6.5	59.80092
red1	-6.466667	59.80177
red1	-6.435101	59.83333
red1	-6.435101	59.83755
red1	-6.165419	59.83755
red1	-6.133333	59.80729
red1	-6.1	59.80205
red1	-6.066667	59.8014
red1	-6.033333	59.80233
red1	-6	59.80285
red1	-5.966667	59.80214
red1	-5.933333	59.80158
red1	-5.9	59.80114
red1	-5.866667	59.80171
red1	-5.833333	59.80163
red1	-5.8	59.80103
red1	-5.766667	59.80105
red1	-5.733333	59.80124
red1	-5.7	59.80153
red1	-5.666667	59.8019
red1	-5.633333	59.8027
red1	-5.6	59.80568
red1	-5.572345	59.83333
red1	-5.566667	59.83458
red1	-5.533333	59.83486
red1	-5.5	59.8353
red1	-5.466667	59.83934
red1	-5.439344	59.86667
red1	-5.433333	59.86766
red1	-5.4	59.86813
red1	-5.366667	59.86944
red1	-5.336102	59.9
red1	-5.333333	59.901
red1	-5.3	59.90111
red1	-5.266667	59.90193
red1	-5.235268	59.93333
red1	-5.233333	59.93434
red1	-5.2	59.93476
red1	-5.166667	59.93699
red1	-5.13699	59.96667
red1	-5.133333	59.96835
red1	-5.1	59.96929
red1	-5.069294	60
red1	-5.066667	60.00238
red1	-5.033333	60.00927
red1	-5.009266	60.03333
red1	-5	60.03675
red1	-4.97008	60.06667
red1	-4.966667	60.06864
red1	-4.933333	60.07154
red1	-4.90487	60.1
red1	-4.9	60.10394
red1	-4.870603	60.13333
red1	-4.866667	60.13901
red1	-4.839012	60.16667
red1	-4.833333	60.16929
red1	-4.8	60.17268
red1	-4.772678	60.2
red1	-4.766667	60.20117
red1	-4.733333	60.20146
red1	-4.7	60.20171
red1	-4.666667	60.20218
red1	-4.633333	60.2033
red1	-4.6	60.20511
red1	-4.566667	60.21019
red1	-4.543519	60.23333
red1	-4.533333	60.23465
red1	-4.5	60.23476
red1	-4.466667	60.23501
red1	-4.433333	60.23561
red1	-4.4	60.23699
red1	-4.366667	60.24464
red1	-4.34464	60.26667
red1	-4.333333	60.26923
red1	-4.3	60.27111
red1	-4.266667	60.27685
red1	-4.243519	60.3
red1	-4.233333	60.30353
red1	-4.2	60.31689
red1	-4.183553	60.33333
red1	-4.166667	60.35354
red1	-4.153543	60.36667
red1	-4.133333	60.38355
red1	-4.116886	60.4
red1	-4.1	60.40465
red1	-4.071316	60.43333
red1	-4.066667	60.43589
red1	-4.033333	60.43901
red1	-4.005678	60.46667
red1	-4	60.46959
red1	-4	60
red1	-5	59.66667
red1	-6	59.5
red1	-6.75	59.08333
red1	-6.66201	59.09673
red1	-6.69229	59.06427
red1	-6.66201	59.03518
red1	-6.698346	59.00028
red1	-6.764961	59.00028
red1	-6.795241	58.9712
red1	-6.825521	58.9712
red1	-6.855801	58.99446
red1	-6.898193	58.99446
red1	-6.928473	58.9712
red1	-6.970865	58.96538
red1	-7.067761	59.06427
red1	-7.441832	59.06667
red2	-9.570458	57.86667
red2	-9.586877	57.9
red2	-9.6	57.91312
red2	-9.601349	57.93333
red2	-9.601934	57.96667
red2	-9.601864	58
red2	-9.601251	58.03333
red2	-9.6	58.04118
red2	-9.574516	58.06667
red2	-9.569363	58.1
red2	-9.566667	58.10394
red2	-9.53727	58.13333
red2	-9.533333	58.13712
red2	-9.503791	58.16667
red2	-9.5	58.16959
red2	-9.469593	58.2
red2	-9.466667	58.2033
red2	-9.436637	58.23333
red2	-9.433333	58.23845
red2	-9.405113	58.26667
red2	-9.4	58.27111
red2	-9.371115	58.3
red2	-9.366667	58.30233
red2	-9.333333	58.31689
red2	-9.316886	58.33333
red2	-9.3	58.33699
red2	-9.270323	58.36667
red2	-9.266667	58.36917
red2	-9.233333	58.37347
red2	-9.206808	58.4
red2	-9.2	58.40205
red2	-9.166667	58.40285
red2	-9.133333	58.40511
red2	-9.105113	58.43333
red2	-9.1	58.43547
red2	-9.066667	58.4376
red2	-9.033333	58.4585
red2	-9.025163	58.46667
red2	-9	58.46911
red2	-8.966667	58.47268
red2	-8.939344	58.5
red2	-8.933333	58.50149
red2	-8.9	58.50186
red2	-8.866667	58.50277
red2	-8.833333	58.50729
red2	-8.807292	58.53333
red2	-8.8	58.53618
red2	-8.766667	58.53699
red2	-8.733333	58.53712
red2	-8.7	58.53675
red2	-8.666667	58.53972
red2	-8.639718	58.56667
red2	-8.633333	58.56857
red2	-8.6	58.56894
red2	-8.566667	58.56911
red2	-8.533333	58.56997
red2	-8.5	58.58117
red2	-8.481168	58.6
red2	-8.466667	58.6027
red2	-8.433333	58.60394
red2	-8.4	58.61271
red2	-8.379373	58.63333
red2	-8.366667	58.6353
red2	-8.333333	58.63626
red2	-8.3	58.65022
red2	-8.283553	58.66667
red2	-8.266667	58.66767
red2	-8.233333	58.66815
red2	-8.2	58.66977
red2	-8.166667	58.68355
red2	-8.150219	58.7
red2	-8.133333	58.70121
red2	-8.1	58.70168
red2	-8.066667	58.70193
red2	-8.033333	58.70366
red2	-8.003656	58.73333
red2	-8	58.73467
red2	-7.964046	58.70361
red2	-7.964046	58.66871
red2	-7.867151	58.57564
red2	-7.89743	58.54074
red2	-7.89743	58.51165
red2	-7.964046	58.43603
red2	-8.006438	58.43021
red2	-8.036718	58.39531
red2	-8.066998	58.39531
red2	-8.103334	58.37204
red2	-8.16995	58.36041
red2	-8.163894	58.33132
red2	-8.188118	58.30224
red2	-8.339517	58.29642
red2	-8.339517	58.27315
red2	-8.436413	58.16263
red2	-8.563589	58.16263
red2	-8.599925	58.13354
red2	-8.763436	58.12773
red2	-8.793716	58.10446
red2	-8.896668	58.09864
red2	-8.902724	58.06956
red2	-8.933004	58.03465
red2	-8.926948	58.00557
red2	-8.99962	57.93576
red2	-9.096515	57.93576
red2	-9.138907	57.90086
red2	-9.362979	57.89504
red2	-9.399315	57.87178
red2	-9.429594	57.90086
red2	-9.570458	57.86667
red3	-10.500339	54.53333
red3	-10.500339	54.56667
red3	-10.500339	54.6
red3	-10.5	54.60034
red3	-10.467005	54.63333
red3	-10.466667	54.63367
red3	-10.433672	54.66667
red3	-10.433333	54.66701
red3	-10.400339	54.7
red3	-10.4	54.70034
red3	-10.367005	54.73333
red3	-10.366667	54.73367
red3	-10.333672	54.76667
red3	-10.333672	54.8
red3	-10.333333	54.80034
red3	-10.300339	54.83333
red3	-10.3	54.83367
red3	-10.267005	54.86667
red3	-10.266667	54.86701
red3	-10.233672	54.9
red3	-10.233333	54.90034
red3	-10.200339	54.93333
red3	-10.2	55.00088
red3	-10.166667	55.00729
red3	-10.140625	55.03333
red3	-10.134013	55.06667
red3	-10.133333	55.06766
red3	-10.100996	55.1
red3	-10.1	55.10078
red3	-10.067444	55.13333
red3	-10.067207	55.16667
red3	-10.066667	55.16793
red3	-10.0346	55.2
red3	-10.033333	55.20233
red3	-10.002329	55.23333
red3	-10	55.23664
red3	-9.96997	55.26667
red3	-9.967902	55.3
red3	-9.966667	55.30301
red3	-9.936346	55.33333
red3	-9.934141	55.36667
red3	-9.933333	55.36733
red3	-9.9	55.36968
red3	-9.869679	55.4
red3	-9.866667	55.40285
red3	-9.836179	55.43333
red3	-9.833333	55.43445
red3	-9.8	55.43743
red3	-9.77076	55.46667
red3	-9.766667	55.46744
red3	-9.733333	55.46738
red3	-9.7	55.46747
red3	-9.666667	55.47517
red3	-9.641832	55.5
red3	-9.633333	55.50067
red3	-9.6	55.5016
red3	-9.568269	55.53333
red3	-9.566667	55.53374
red3	-9.533333	55.53451
red3	-9.501179	55.56667
red3	-9.5	55.5702
red3	-9.470197	55.6
red3	-9.466667	55.60165
red3	-9.433333	55.60409
red3	-9.404094	55.63333
red3	-9.4	55.6352
red3	-9.368531	55.66667
red3	-9.368717	55.7
red3	-9.367859	55.73333
red3	-9.4	55.76547
red3	-9.400703	55.76667
red3	-9.400933	55.8
red3	-9.4	55.80114
red3	-9.367806	55.83333
red3	-9.366667	55.83418
red3	-9.334181	55.86667
red3	-9.333333	55.86743
red3	-9.3	55.87154
red3	-9.271537	55.9
red3	-9.267608	55.93333
red3	-9.266667	55.95022
red3	-9.250219	55.96667
red3	-9.235014	56
red3	-9.234266	56.03333
red3	-9.234154	56.06667
red3	-9.234093	56.1
red3	-9.234022	56.13333
red3	-9.233333	56.13845
red3	-9.205113	56.16667
red3	-9.22021	56.2
red3	-9.201465	56.23333
red3	-9.2	56.23727
red3	-9.170603	56.26667
red3	-9.167933	56.3
red3	-9.166667	56.3085
red3	-9.141832	56.33333
red3	-9.134648	56.36667
red3	-9.133333	56.37685
red3	-9.110185	56.4
red3	-9.101386	56.43333
red3	-9.101016	56.46667
red3	-9.101193	56.5
red3	-9.101424	56.53333
red3	-9.101332	56.56667
red3	-9.1	56.56838
red3	-9.068375	56.6
red3	-9.066667	56.60285
red3	-9.036179	56.63333
red3	-9.034195	56.66667
red3	-9.033333	56.66872
red3	-9.00205	56.7
red3	-9.002383	56.73333
red3	-9.033333	56.76428
red3	-9.033944	56.76667
red3	-9.035716	56.8
red3	-9.066667	56.83095
red3	-9.067379	56.83333
red3	-9.068717	56.86667
