trip	haul	triphaul	species	length	number	standnumber
S20160002	12	S20160002/12	ALL	40	5	5
S20160002	12	S20160002/12	ALL	50	8	8
S20160002	12	S20160002/12	ALL	60	4	4
S20160002	12	S20160002/12	ALL	70	2	2
S20160002	12	S20160002/12	ALL	80	2	2
S20160002	12	S20160002/12	ALL	90	2	2
S20160002	12	S20160002/12	BRO	150	2	2
S20160002	12	S20160002/12	BRO	160	1	1
S20160002	12	S20160002/12	BRO	170	2	2
S20160002	12	S20160002/12	BRO	180	1	1
S20160002	12	S20160002/12	BRO	190	1	1
S20160002	12	S20160002/12	BRO	200	4	4
S20160002	12	S20160002/12	BRO	210	4	4
S20160002	12	S20160002/12	BRO	220	4	4
S20160002	12	S20160002/12	BRO	250	1	1
S20160002	12	S20160002/12	BRO	260	1	1
S20160002	12	S20160002/12	CDA	100	21.684	21.684
S20160002	12	S20160002/12	CDA	110	43.368	43.368
S20160002	12	S20160002/12	CDA	120	162.63	162.63
S20160002	12	S20160002/12	CDA	130	238.524	238.524
S20160002	12	S20160002/12	CDA	140	552.942	552.942
S20160002	12	S20160002/12	CDA	150	585.468	585.468
S20160002	12	S20160002/12	CDA	160	487.89	487.89
S20160002	12	S20160002/12	CDA	170	802.308	802.308
S20160002	12	S20160002/12	CDA	180	542.1	542.1
S20160002	12	S20160002/12	CDA	190	411.996	411.996
S20160002	12	S20160002/12	CDA	200	130.104	130.104
S20160002	12	S20160002/12	CDA	210	140.946	140.946
S20160002	12	S20160002/12	CDA	220	21.684	21.684
S20160002	12	S20160002/12	CDA	230	43.368	43.368
S20160002	12	S20160002/12	CDA	250	10.842	10.842
S20160002	12	S20160002/12	CDA	260	21.684	21.684
S20160002	12	S20160002/12	COD	130	2	2
S20160002	12	S20160002/12	COD	140	2	2
S20160002	12	S20160002/12	COD	150	3	3
S20160002	12	S20160002/12	COD	160	3	3
S20160002	12	S20160002/12	COD	170	3	3
S20160002	12	S20160002/12	COD	180	6	6
S20160002	12	S20160002/12	COD	190	3	3
S20160002	12	S20160002/12	COD	200	3	3
S20160002	12	S20160002/12	COD	210	5	5
S20160002	12	S20160002/12	COD	220	4	4
S20160002	12	S20160002/12	COD	230	2	2
S20160002	12	S20160002/12	COD	240	1	1
S20160002	12	S20160002/12	COD	270	1	1
S20160002	12	S20160002/12	COD	280	1	1
S20160002	12	S20160002/12	COD	290	1	1
S20160002	12	S20160002/12	COD	320	1	1
